Doc;Adjacency Word Frequency List
397;{'AGREE': 1, 'COMMENT': 1, 'FEIGHERY': 1, 'WOODS': 1, 'LOW': 1, 'MIGRATION': 2, 'INDEX': 1, 'SIGNIFIES': 1, 'SENSITIVITY': 2, 'ANTIGEN': 1, 'ACHIEVED': 1, 'FUNCTIONALLY': 1, 'ACTIVE': 2, 'IMMUNOCOMPETENT': 3, 'CELLS': 12, 'HOWEVER': 1, 'MUST': 1, 'EMPHASISE': 1, 'FUNCTIONS': 1, 'MAY': 2, 'IMPAIRED': 2, 'DEPENDING': 1, 'UPON': 1, 'ANTIGENS': 3, 'SENSITISED': 6, 'SINCE': 1, 'COMPARATIVE': 1, 'AGE': 1, 'MATCHED': 1, 'CONTROLS': 1, 'BLOOD': 1, 'DONORS': 1, 'SHOW': 1, 'SENSITISATION': 2, 'CYSTIC': 1, 'FIBROSIS': 1, 'DOUBT': 1, 'NORMAL': 1, 'FUNCTION': 1, 'PATIENTS': 3, 'INDEED': 2, 'ONE': 1, 'CONSIDERS': 1, 'STEROIDS': 3, 'KNOWN': 1, 'IMMUNOSUPPRESSANTS': 1, 'CERTAINLY': 1, 'SURPRISING': 1, 'TREATMENT': 1, 'PREDNISOLONE': 3, 'CAUSED': 1, 'DECREASED': 1, 'THERAPEUTIC': 1, 'CONCENTRATIONS': 1, 'ABLE': 1, 'REDUCE': 1, 'ABILITY': 1, 'SPLEEN': 1, 'LYMPH': 1, 'NODE': 1, 'DESTROY': 1, 'TARGET': 1, 'VITRO': 1, 'APART': 1, 'INHIBITION': 2, 'LYMPHOCYTES': 1, 'KILLED': 1, 'PRESENT': 1, 'PHASE': 1, 'ADDITION': 1, 'OBSERVED': 1, 'MAN': 1, 'CORTISOL': 1, 'GIVEN': 1, 'TWO': 1, 'HOURS': 1, 'ABRADING': 1, 'SKIN': 1, 'OCCURRED': 1, 'MARKED': 1, 'REDUCTION': 1, 'EMIGRATIONS': 1, 'MONONUCLEAR': 1, 'POLYMORPHS': 1, 'AREA': 1, 'THUS': 1, 'INHIBITING': 1, 'MOBILISATION': 1, 'MACROPHAGES': 1, 'BELIEVE': 1, 'SITUATION': 1, 'REGARD': 1, 'STEROID': 1, 'THERAPY': 1, 'LEUKOCYTES': 1, 'SIMILAR': 1}
398;{'CYSTIC': 1, 'FIBROSIS': 1, 'LIKE': 2, 'SYPHILIS': 1, 'COULD': 3, 'ACCURATELY': 1, 'DESCRIBED': 1, 'GREAT': 1, 'IMITATOR': 1, 'MANY': 4, 'ORGAN': 1, 'SYSTEMS': 1, 'INVOLVED': 1, 'CLEAR': 1, 'UNDERSTANDING': 2, 'DISEASE': 3, 'COMPLICATIONS': 2, 'USEFUL': 1, 'EXERCISE': 1, 'HUMAN': 1, 'PHYSIOLOGY': 1, 'CALLED': 2, 'THICK': 2, 'SECRETION': 2, 'EXOCRINE': 2, 'FLUIDS': 1, 'PANCREATIC': 1, 'JUICE': 1, 'MULTIMYSTERY': 1, 'UNANSWERED': 1, 'QUESTIONS': 1, 'MANIFESTATIONS': 1, 'UNDERSTANDABLE': 1, 'MALABSORPTION': 1, 'MALNUTRITION': 1, 'PHYSICAL': 1, 'CHEMICAL': 1, 'EFFECTS': 1, 'ABNORMAL': 1, 'OTHERS': 1, 'INCLUDING': 1, 'SUSCEPTIBILITY': 1, 'RECURRENT': 1, 'NASAL': 1, 'POLYPS': 1, 'HYPERSALINIZED': 1, 'SWEAT': 1, 'LOW': 1, 'FEMALE': 1, 'FERTILITY': 1, 'MALE': 1, 'STERILITY': 1, 'GIVEN': 1, 'PRESENT': 1, 'KNOWLEDGE': 1, 'MAKE': 1, 'PHYSIOLOGIC': 1, 'SENSE': 1}
399;{'FIBROBLASTS': 1, 'DERIVED': 2, 'INDIVIDUALS': 2, 'MUCOPOLYSACCHARIDOSIS': 1, 'INBORN': 1, 'ERROR': 1, 'METABOLISM': 1, 'FOUND': 1, 'EASILY': 1, 'TRANSFORMED': 1, 'SIMIAN': 1, 'VIRUS': 1, 'CELLS': 1, 'NORMAL': 1, 'INCREASED': 1, 'SUSCEPTIBILITY': 2, 'SEEM': 1, 'DEPEND': 1, 'UPON': 1, 'CHANGES': 1, 'GLYCOPROTEIN': 1, 'CELL': 1, 'SURFACE': 1, 'REPEATED': 1, 'OBSERVATIONS': 1, 'NECESSARY': 1, 'DEMONSTRATE': 1, 'DIFFERENCES': 1, 'BELIEVE': 1, 'TEST': 1, 'SUITABLE': 1, 'ROUTINE': 1, 'SCREENING': 1, 'CANCER': 1}
400;{'INJECTIONS': 1, 'SERUM': 4, 'HUMAN': 2, 'PATIENTS': 1, 'CYSTIC': 3, 'FIBROSIS': 3, 'ADULT': 2, 'RATS': 2, 'CAUSED': 1, 'PRONOUNCED': 2, 'STRUCTURAL': 1, 'MODIFICATIONS': 1, 'INCREASED': 2, 'MITOTIC': 2, 'RATE': 2, 'PAROTID': 4, 'GLAND': 1, 'LOW': 1, 'LEVEL': 1, 'ACINAR': 3, 'CELLS': 3, 'GLANDS': 1, 'DAYS': 1, 'INJECTION': 1, 'LIGHT': 1, 'ELECTRON': 1, 'MICROSCOPIC': 1, 'LEVELS': 1, 'SIGNIFICANT': 1, 'CELL': 1, 'ATROPHY': 1, 'DEGRANULATION': 1, 'OBSERVED': 1, 'CELLULAR': 1, 'NECROSIS': 1, 'INCREASES': 1, 'QUANTITY': 1, 'LYSOSOME': 1, 'LIKE': 1, 'DENSE': 1, 'BODIES': 1, 'MAST': 1, 'MACROPHAGES': 1, 'ALSO': 1, 'DETECTED': 1, 'CHANGES': 1, 'SUGGESTIVE': 1, 'TISSUE': 1, 'RESPONSE': 2, 'INJURIOUS': 1, 'FOREIGN': 2, 'PROTEIN': 1, 'FURTHERMORE': 1, 'FACT': 1, 'NORMAL': 2, 'SERA': 1, 'KIND': 1, 'EFFECTS': 2, 'GREATLY': 1, 'REDUCED': 1, 'EXTENT': 1, 'STRENGTHENS': 1, 'VIEW': 1, 'RESULT': 1, 'IMMUNOLOGIC': 1, 'HOST': 1, 'ORGAN': 1, 'ANTIGEN': 1, 'SINCE': 1, 'HOWEVER': 1, 'RESPONSES': 1, 'RAT': 2, 'CONSIDERABLY': 1, 'MARKED': 1, 'ELICITED': 1, 'MAY': 1, 'THUS': 1, 'POTENTIAL': 1, 'USEFULNESS': 1, 'ASSAYING': 1, 'PRESENCE': 1, 'FACTOR': 1}
401;{'NUMBER': 1, 'INVESTIGATIONS': 2, 'USED': 1, 'FIRST': 1, 'TIME': 1, 'EXAMINE': 1, 'SECRETORY': 2, 'IGA': 1, 'SIGA': 2, 'SYSTEM': 1, 'DIFFERENT': 1, 'BODY': 1, 'FLUIDS': 1, 'PATIENTS': 2, 'CYSTIC': 1, 'FIBROSIS': 1, 'FREE': 4, 'CHAIN': 1, 'DETECTED': 1, 'SPUTUM': 2, 'SPECIMENS': 1, 'EXAMINED': 1, 'ISOLATED': 2, 'COMPONENT': 1, 'DIFFERED': 1, 'ELECTROPHORETIC': 1, 'MOBILITY': 1, 'NORMAL': 3, 'HUMAN': 2, 'COLOSTRUM': 2, 'ADDITION': 1, 'SALIVA': 2, 'FORMED': 1, 'PRECIPITIN': 1, 'LINES': 1, 'PARTIAL': 1, 'IDENTITY': 1, 'HIGHER': 1, 'PROPORTION': 1, 'SERA': 2, 'CONTAINED': 1, 'SUGGEST': 1, 'MAY': 2, 'DEFECT': 1, 'SYNTHESIS': 1, 'ASSEMBLY': 1, 'IMMUNOGLOBULINS': 1, 'CONFIRMED': 1, 'HELP': 1, 'EXPLAIN': 1, 'IMPAIRED': 1, 'TYPE': 2, 'III': 1, 'ALLERGIC': 1, 'MANIFESTATIONS': 1}
402;{'QUANTITATIVE': 1, 'MEASUREMENT': 1, 'IGG': 2, 'SUBCLASS': 1, 'COMPOSITION': 1, 'SERA': 1, 'SIXTEEN': 1, 'PATIENTS': 3, 'CYSTIC': 1, 'FIBROSIS': 1, 'REVEALED': 1, 'GROSSLY': 1, 'ELEVATED': 1, 'LEVELS': 1, 'SEVEN': 1, 'POSSIBLE': 1, 'SIGNIFICANCE': 1, 'OBSERVATION': 1, 'DISCUSSED': 1, 'RELATION': 1, 'RECENT': 1, 'REPORTS': 1, 'HIGH': 1, 'INCIDENCE': 1, 'IMMEDIATE': 1, 'TYPE': 1, 'HYPERSENSITIVITY': 1}
403;{'RECENT': 1, 'COMMERCIAL': 1, 'INTRODUCTION': 1, 'METHOD': 1, 'DETECTING': 1, 'ALBUMIN': 1, 'MECONIUM': 1, 'MAKES': 1, 'SCREENING': 1, 'CYSTIC': 2, 'FIBROSIS': 2, 'FEASIBLE': 1, 'MANY': 1, 'HOSPITALS': 1, 'TESTS': 3, 'ADOPTED': 1, 'CONFIRMATORY': 3, 'AVAILABLE': 1, 'QUANTITATIVE': 1, 'ANALYSES': 1, 'SWEAT': 1, 'SODIUM': 1, 'FLAME': 1, 'PHOTOMETRY': 1, 'CHLORIDE': 1, 'SILVER': 1, 'TITRATION': 1, 'ION': 1, 'SLEECTIVE': 1, 'ELECTRODES': 1, 'USED': 1, 'COMPARE': 1, 'RESULTS': 1, 'METHODS': 1, 'APPLIED': 1, 'PRESONS': 1, 'RESPIRATORY': 1, 'DISORDERS': 2, 'DIGESTIVE': 1, 'CONTROL': 1, 'SUBJECTS': 1}
404;{'SIX': 1, 'TESTS': 5, 'RECOMMENDED': 1, 'USE': 1, 'DIAGNOSIS': 1, 'CYSTIC': 1, 'FIBROSIS': 1, 'COMPARED': 1, 'SUBJECTS': 1, 'CARRIED': 1, 'NORMAL': 1, 'PERSONS': 1, 'KNOWN': 1, 'CASES': 1, 'PARENTS': 1, 'SIBS': 1, 'MEASURED': 1, 'SODIUM': 2, 'FINGERNAILS': 1, 'ACTIVATION': 1, 'SALIVA': 2, 'CHLORIDE': 2, 'THERMAL': 1, 'PILOCARPINE': 3, 'INDUCED': 1, 'SWEAT': 2, 'MEANS': 1, 'ION': 1, 'SPECIFIC': 1, 'ELECTRODES': 1, 'STANDARD': 2, 'TITRIMETRIC': 1, 'METHOD': 2, 'RANGED': 1, 'COMPLEXITY': 1, 'SIMPLE': 1, 'SCREENING': 1, 'METHODS': 1, 'INDIVIDUAL': 1, 'CLINICAL': 1, 'PROCEDURES': 1, 'NONE': 1, 'SIMPLER': 1, 'MATCHED': 1, 'DIAGNOSTIC': 1, 'EFFICIENCY': 1, 'WHETHER': 1, 'USED': 1, 'SINGLY': 1, 'COMBINATION': 1}
405;{'ACID': 1, 'THERMOSTABLE': 1, 'RIBONUCLEASES': 3, 'ISOLATED': 2, 'HUMAN': 1, 'PANCREAS': 2, 'DUODENAL': 2, 'CONTENTS': 2, 'LIVER': 2, 'SPLEEN': 2, 'SERUM': 4, 'URINE': 3, 'PURIFIED': 1, 'FOLD': 1, 'OPTIMA': 1, 'IONIC': 1, 'REQUIREMENTS': 2, 'SPECIFICITY': 1, 'ENZYMES': 2, 'INVESTIGATED': 1, 'FORMED': 1, 'TWO': 1, 'DISTINCT': 1, 'GROUPS': 1, 'FRACTION': 1, 'EXHIBIT': 2, 'OPTIMUM': 2, 'INHIBITED': 1, 'RELATIVELY': 1, 'RAPIDLY': 1, 'HYDROLYZE': 1, 'SYNTHETIC': 1, 'SUBSTRATE': 1, 'URIDINE': 3, 'ALPHA': 3, 'NAPHTHYLPHOSPHATE': 3, 'FRACTIONS': 1, 'LESS': 1, 'SENSITIVE': 1, 'NEGLIGIBLE': 1, 'ACTIVITY': 2, 'VERSUS': 1, 'DETERMINATION': 1, 'LEVEL': 1, 'PANCREATIC': 2, 'TYPE': 1, 'RIBONUCLEASE': 1, 'USE': 1, 'RNA': 1, 'SUBSTRATES': 1, 'APPEARS': 1, 'VALID': 1, 'DIAGNOSTIC': 1, 'TOOL': 1, 'FIBROSIS': 1, 'CHILDREN': 1}
406;{'PROLACTIN': 3, 'CREDITED': 1, 'ROLE': 1, 'MAINTENANCE': 1, 'ELECTROLYTIC': 1, 'WATER': 1, 'BALANCE': 1, 'KIDNEYS': 1, 'ALTHOUGH': 1, 'EFFECT': 1, 'COMPOSITION': 1, 'SWEAT': 1, 'UNKNOWN': 1, 'ASSAYED': 1, 'GROWTH': 1, 'HORMONE': 1, 'ALPHA': 3, 'FETOPROTEIN': 1, 'SERA': 2, 'CHILDREN': 5, 'CYSTIC': 3, 'FIBROSIS': 3, 'ATTENDING': 1, 'HOSPITAL': 1, 'SICK': 1, 'WITHOUT': 2, 'USED': 1, 'CONTROL': 1, 'APPEARS': 1, 'SERUM': 1, 'LEVELS': 2, 'SIMILAR': 1, 'DISEASE': 1, 'SIGNIFICANTLY': 1, 'HIGHER': 1, 'WOMEN': 1, 'REPRODUCTIVE': 1, 'AGE': 1}
407;{'THIN': 1, 'LAYER': 1, 'ISOELECTRIC': 2, 'FOCUSING': 1, 'PERFORMED': 1, 'SAMPLES': 1, 'SERA': 4, 'PATIENTS': 1, 'CYSTIC': 4, 'FIBROSIS': 4, 'SIBLINGS': 1, 'OBLIGATE': 1, 'HETEROZYGOTES': 1, 'PARENTS': 1, 'CHILDREN': 1, 'WITHOUT': 1, 'CONTROLS': 1, 'PROTEIN': 1, 'BAND': 2, 'POINT': 1, 'PREVIOUSLY': 1, 'REPORTED': 1, 'ABSENT': 2, 'HOMOZYGOTE': 2, 'FOUND': 1, 'PRESENT': 1, 'APPROXIMATELY': 1, 'ONE': 1, 'HALF': 1, 'HETEROZYGOTE': 1, 'TESTED': 1, 'PERCENT': 1, 'CONTROL': 1, 'PRESENCE': 1, 'THEREFORE': 1, 'RELIABLE': 1, 'MARKER': 1, 'NORMAL': 1, 'GENE': 1, 'CANNOT': 1, 'USED': 1, 'IDENTIFY': 1, 'HETEROZYGOUS': 1, 'CARRIER': 1}
408;{'NEW': 1, 'METHOD': 3, 'RADIO': 2, 'CROSSED': 2, 'IMMUNOELECTROPHORESIS': 2, 'DEMONSTRATES': 1, 'ALPHA': 2, 'FETOPROTEIN': 1, 'AFP': 4, 'SERA': 4, 'SENSITIVITY': 1, 'MUG': 1, 'MOBILITY': 2, 'FOUND': 1, 'HEALTHY': 1, 'INDIVIDUALS': 1, 'PATIENTS': 1, 'CHRONIC': 1, 'ACTIVE': 1, 'HEPATITIS': 1, 'CIRRHOSIS': 2, 'PRIMARY': 1, 'BILIARY': 1, 'SECONDARY': 1, 'LIVER': 1, 'CANCER': 1, 'CYSTIC': 1, 'FIBROSIS': 1, 'ELEVATED': 1, 'MEASURED': 1, 'CONVENTIONAL': 1, 'RADIOIMMUNOASSAY': 1, 'CONTAINED': 1, 'LIKE': 1, 'SUBSTANCE': 2, 'GAMMA': 2, 'ANALYZED': 1, 'NATURE': 1, 'STILL': 1, 'OBSCURE': 1, 'NEEDS': 1, 'INVESTIGATION': 1}
409;{'CELLULAR': 2, 'GLYCOSAMINOGLYCANS': 3, 'ISOLATED': 2, 'LYMPHOCYTES': 2, 'PATIENTS': 1, 'CYSTIC': 2, 'FIBROSIS': 2, 'CONTROLS': 2, 'FRACTIONATED': 1, 'CELLULOSE': 1, 'ACETATE': 1, 'ELECTROPHORESIS': 1, 'ANALYZED': 1, 'GLUCOSAMINE': 2, 'GALACTOSAMINE': 2, 'CONTENT': 2, 'SUBJECTED': 1, 'HYDROLYSIS': 1, 'BOVINE': 1, 'TESTICULAR': 1, 'HYALURONIDASE': 1, 'TOTAL': 1, 'GLYCOSAMINOGLYCAN': 1, 'PER': 1, 'CENT': 1, 'DISTRIBUTION': 1, 'CIRCULATING': 1, 'DIFFERENT': 1}
410;{'ISOENZYME': 3, 'PATTERN': 1, 'ALPHA': 7, 'FUCOSIDASE': 7, 'STUDIED': 1, 'ISOELECTRIC': 1, 'FOCUSING': 1, 'LIVERS': 3, 'SEVEN': 4, 'PATIENTS': 1, 'CYSTIC': 3, 'FIBROSIS': 3, 'NORMAL': 2, 'PATHOLOGICAL': 1, 'GANGLIOSIDOSIS': 1, 'TYPE': 1, 'SANFILIPPO': 1, 'DISEASE': 1, 'CONTROLS': 2, 'REPRODUCIBLE': 1, 'PATTERNS': 3, 'CONSISTING': 1, 'ISOENZYMES': 3, 'NEUTRAL': 2, 'REPRESENTING': 1, 'SMALL': 1, 'PROPORTION': 1, 'TOTAL': 1, 'ACTIVITY': 1, 'ALTERED': 2, 'CHEMICAL': 1, 'RELATIONSHIP': 1, 'LIVER': 2, 'INVESTIGATED': 1, 'USING': 1, 'NEURAMINDASE': 1, 'FIVE': 1, 'ACIDIC': 1, 'FORMS': 1, 'APPEAR': 2, 'RELATED': 2, 'FORM': 1, 'SIALIC': 2, 'ACID': 2, 'RESIDUES': 2, 'SINCE': 1, 'POSSIBLE': 1, 'FOUND': 1, 'MAY': 1, 'RESULT': 1, 'ABERRANT': 1, 'SIALYLATION': 1}
411;{'SKIN': 3, 'FIBROBLAST': 1, 'CULTURES': 2, 'ADULT': 2, 'POPULATION': 1, 'CYSTIC': 2, 'FIBROSIS': 2, 'PATIENTS': 8, 'STUDIED': 3, 'DETERMINE': 1, 'POSSIBLE': 1, 'GENETIC': 2, 'CLINICAL': 2, 'SIGNIFICANCE': 1, 'TWO': 3, 'CLASSES': 1, 'DESCRIBED': 1, 'CULTURED': 4, 'FIBROBLASTS': 6, 'DANES': 1, 'BASIS': 1, 'COURSE': 2, 'UNRELATED': 1, 'FAMILIES': 1, 'DIVIDED': 1, 'GROUPS': 1, 'TYPICAL': 3, 'ATYPICAL': 3, 'CLASS': 10, 'METACHROMATIC': 2, 'FACTOR': 1, 'ACTIVITY': 1, 'CFFA': 2, 'CULTURE': 2, 'MEDIUM': 2, 'METABOLIC': 2, 'COOPERATION': 2, 'NORMAL': 1, 'REMAINING': 1, 'THREE': 3, 'AMETACHROMATIC': 1, 'YEAR': 1, 'RESEARCH': 1, 'PERIOD': 1, 'ONE': 2, 'SUCCUMBED': 1, 'SIX': 1, 'FOUR': 1, 'PARENTS': 1, 'PARENT': 1, 'FAMILY': 2, 'AFFECTED': 1, 'OFFSPRING': 1, 'MATINGS': 1, 'MAY': 1, 'REPRESENT': 1, 'COMPOUNDS': 1}
412;{'INCREASED': 1, 'NUMBER': 1, 'FAST': 2, 'ISOAMYLASES': 3, 'FOUND': 1, 'PAROTID': 2, 'SALIVA': 2, 'CHILDREN': 1, 'CYSTIC': 2, 'FIBROSIS': 2, 'HETEROZYGOUS': 1, 'PARENTS': 1, 'CLINICALLY': 1, 'HEALTHY': 1, 'GENERATED': 1, 'LEAST': 1, 'PART': 1, 'BASIC': 2, 'PATTERN': 2, 'DEAMIDATION': 2, 'ASPARAGINE': 1, 'GLUTAMINE': 1, 'RESIDUES': 1, 'PRESENT': 1, 'SUBJECTS': 1, 'TESTED': 1, 'FAR': 1, 'SHIFT': 1, 'EQUILIBRIUM': 1, 'AMIDATION': 1, 'PROCESSES': 1, 'DISCUSSED': 1, 'TERMS': 1, 'POSSIBLE': 1, 'SIGNIFICANCE': 1, 'PATHOGENESIS': 1, 'AGEING': 1}
413;{'REPORT': 1, 'FIVE': 1, 'INFANTS': 1, 'EVENTUALLY': 1, 'PROVEN': 1, 'CYSTIC': 2, 'FIBROSIS': 2, 'PANCREAS': 1, 'PRESENTED': 2, 'HEMOLYTIC': 1, 'ANEMIA': 2, 'EDEMA': 2, 'SINCE': 1, 'SWEAT': 2, 'TEST': 2, 'OFTEN': 1, 'UNRELIABLE': 1, 'EDEMATOUS': 1, 'STATES': 1, 'POSSIBILITY': 2, 'CONSIDERED': 1, 'USE': 1, 'EITHER': 1, 'PROTEIN': 1, 'HYDROLYSATE': 1, 'ADDITION': 1, 'PANCREATIC': 1, 'ENZYMES': 1, 'IMPROVE': 1, 'NUTRITIONAL': 1, 'STATUS': 1, 'DISAPPEARS': 1, 'DEFINITE': 1, 'PERFORMED': 1, 'EVIDENCE': 1, 'VITAMIN': 1, 'DEFICIENCY': 1, 'CASES': 1, 'CAUSE': 1, 'RAISED': 1}
414;{'VITAMIN': 12, 'ABSORPTION': 5, 'TESTS': 1, 'USING': 2, 'PALMITATE': 3, 'ALCOHOL': 3, 'SEPARATELY': 1, 'OIL': 6, 'WATER': 3, 'EMULSIONS': 1, 'DONE': 1, 'PATIENTS': 4, 'CYSTIC': 3, 'FIBROSIS': 3, 'GIVEN': 2, 'UNITS': 1, 'PER': 2, 'KILOGRAM': 1, 'BODY': 1, 'WEIGHT': 1, 'FATTY': 1, 'BREAKFAST': 1, 'PANCREATIC': 1, 'ENZYMES': 1, 'TEST': 2, 'MEAL': 1, 'WITHHELD': 1, 'FIVE': 2, 'HOURS': 2, 'START': 1, 'BLOOD': 1, 'DRAWN': 1, 'ADMINISTRATION': 2, 'THREE': 1, 'SERUM': 1, 'LEVELS': 1, 'ESTIMATED': 1, 'CARR': 1, 'PRICE': 1, 'TECHNIQUE': 1, 'PERCENTAGES': 1, 'NORMAL': 1, 'EMULSION': 2, 'DISSOLVED': 1, 'NUMBER': 1, 'STOOLS': 2, 'DAY': 2, 'INVERSE': 1, 'INDICATOR': 1, 'RETENTION': 1, 'TIME': 1, 'INTESTINE': 1, 'FAT': 1, 'SOLUBLE': 1, 'VITAMINS': 1, 'ALWAYS': 1, 'ABNORMAL': 2, 'PATIENT': 1, 'FOUR': 1, 'OBSERVATIONS': 1, 'LIVER': 1, 'BIOPSIES': 1, 'POOR': 1, 'STATISTICALLY': 1, 'SIGNIFICANT': 1, 'QUESTION': 1, 'EFFECT': 1, 'CIRRHOSIS': 1, 'REMAINS': 1, 'UNRESOLVED': 1}
415;{'SERA': 3, 'PATIENTS': 4, 'CYSTIC': 1, 'FIBROSIS': 1, 'CLASSIFIED': 1, 'ACCORDING': 1, 'FIBROBLAST': 1, 'METACHROMASIA': 1, 'THREE': 2, 'CLASSES': 1, 'ANALYSED': 1, 'IMMUNOCHEMICALLY': 1, 'CONCENTRATIONS': 4, 'SERUM': 9, 'PROTEINS': 8, 'ADDITION': 1, 'CLINICAL': 2, 'RADIOLOGICAL': 1, 'STATUS': 1, 'LUNGS': 1, 'EVALUATED': 1, 'USING': 1, 'TWO': 1, 'SCORING': 1, 'SYSTEMS': 1, 'ELEVEN': 1, 'DIFFERED': 1, 'VALUES': 1, 'THOUSAND': 1, 'DONOR': 1, 'POOL': 1, 'PRONOUNCED': 2, 'DIFFERENCES': 2, 'CONTROL': 2, 'ELEVATED': 1, 'ACUTE': 2, 'PHASE': 2, 'NOTABLY': 1, 'HAPTOGLOBIN': 2, 'ALPHA': 3, 'ANTICHYMOTRYPSIN': 2, 'IGG': 3, 'IGA': 3, 'LOW': 1, 'ALBUMIN': 2, 'GLYCOPROTEIN': 1, 'METACHROMATIC': 1, 'CLASS': 2, 'III': 2, 'PRESENTED': 1, 'RISE': 1, 'FURTHERMORE': 1, 'SIGNIFICANTLY': 1, 'DECREASED': 1, 'COMPLEMENT': 1, 'IGM': 2, 'NORMAL': 1, 'POSSIBLY': 1, 'REFLECT': 1, 'INFLAMMATORY': 1, 'TISSUE': 1, 'DAMAGE': 1, 'INVOLVING': 1, 'IMMUNE': 1, 'REACTIONS': 1, 'SCORE': 2, 'POSITIVELY': 2, 'CORRELATED': 3, 'RADIOLOGIC': 1, 'SCORES': 2, 'EIGHT': 1, 'SEVEN': 1, 'RESPECTIVELY': 1, 'NEGATIVELY': 1, 'BASED': 1, 'UPON': 1, 'CORRELATIONS': 1, 'RECOMMENDED': 1, 'LONGITUDINAL': 1, 'PROSPECTIVE': 1, 'STUDIES': 1, 'FOLLOW': 1, 'INDIVIDUAL': 1, 'EVENTUALLY': 1, 'PRESENT': 1, 'RESULTS': 1, 'SUGGEST': 1, 'YIELD': 1, 'VALUABLE': 1, 'INFORMATION': 1, 'REGARDS': 1, 'PROGNOSIS': 1, 'THERAPY': 1, 'LUNG': 1, 'DISEASE': 1}
416;{'UNUSUAL': 1, 'INCREASES': 1, 'MINOR': 1, 'HEMOGLOBIN': 1, 'COMPONENTS': 1, 'AIA': 1, 'KNOWN': 1, 'ELEVATED': 1, 'DIABETES': 3, 'MELLITUS': 1, 'FOUND': 1, 'STATES': 1, 'RELATIVE': 1, 'ABSOLUTE': 1, 'INSULINOPENIA': 1, 'DIABETIC': 2, 'KETOACIDOSIS': 1, 'STEROID': 1, 'INDUCED': 1, 'INSULIN': 2, 'DEPENDENT': 1, 'CYSTIC': 2, 'FIBROSIS': 2, 'PATIENTS': 1, 'OCCURRING': 1, 'INFANTS': 1, 'MARKED': 1, 'SUPPRESSION': 1, 'SECRETION': 1, 'KETOACIDOTIC': 1, 'DIABETICS': 1, 'REQUIRED': 1, 'LEAST': 1, 'MONTH': 1, 'HIGH': 1, 'LEVELS': 2, 'PER': 2, 'CENT': 2, 'STABILIZE': 1, 'NONACIDOTIC': 1, 'SUGGESTING': 1, 'DECREASES': 1, 'OCCUR': 1, 'NEW': 1, 'RED': 3, 'CELLS': 1, 'FORM': 1, 'CONDITIONS': 1, 'LESS': 1, 'FAVORABLE': 1, 'SYNTHESIS': 1, 'ABNORMAL': 1, 'AMOUNTS': 1, 'RESISTED': 1, 'REMOVAL': 2, 'CELL': 3, 'MEMBRANES': 1, 'LOW': 1, 'IONIC': 1, 'BUFFERS': 1, 'YIELDED': 1, 'HYPOTONIC': 1, 'TRIS': 1, 'BUFFER': 1, 'RESULTED': 1, 'SIMULTANEOUS': 1, 'ELUTION': 1, 'PERIPHERAL': 1, 'INTEGRAL': 1, 'MEMBRANE': 2, 'PROTEINS': 1, 'SUGGESTED': 1, 'FIRMLY': 1, 'BOUND': 1, 'COULD': 1, 'REDUCE': 1, 'ELASTICITY': 1, 'DEFORMABILITY': 1, 'CHARACTERISTICS': 1, 'VITAL': 1, 'NORMAL': 1, 'MOVEMENT': 1, 'MICROVASCULATURE': 1}
417;{'SIMPLE': 1, 'RAPID': 2, 'METHOD': 3, 'DIAGNOSIS': 2, 'STEATORRHEA': 5, 'DESCRIBED': 2, 'BASED': 1, 'ASSESSMENT': 2, 'DIFFERENCE': 1, 'SPECIFIC': 1, 'GRAVITY': 1, 'LIPOPHILIC': 1, 'PROPERTY': 1, 'NORMAL': 1, 'STOOL': 4, 'USING': 1, 'BENZENE': 1, 'NABR': 1, 'SYSTEM': 1, 'SAMPLES': 3, 'DRIED': 1, 'PULVERIZED': 1, 'INVESTIGATED': 1, 'DEFINED': 1, 'EITHER': 1, 'FAT': 1, 'HOUR': 1, 'SAMPLE': 1, 'INFANTS': 1, 'CHILDREN': 2, 'EXAMINED': 1, 'AMONG': 1, 'HEALTHY': 1, 'SUBJECTS': 1, 'UPPER': 1, 'RESPIRATORY': 1, 'TRACT': 1, 'INFECTIONS': 1, 'PNEUMONIA': 1, 'CELIAC': 1, 'DISEASE': 1, 'GLUTEN': 1, 'FREE': 1, 'DIET': 1, 'ONE': 1, 'CHILD': 1, 'CYSTIC': 1, 'FIBROSIS': 1, 'PROCEDURE': 1, 'RENDERS': 1, 'SINGLE': 1, 'SUITABLE': 1, 'SCREENING': 1, 'TEST': 1, 'PROVED': 1, 'ACCURATE': 1}
