query_number;doc_number_list;doc_score_list
44;[44, 45, 53, 67, 72, 74, 83, 84, 106, 108, 118, 121, 122, 124, 125, 135, 138, 142, 143, 154, 166, 171, 172, 190, 235, 236, 242, 243, 244, 257, 264, 269, 276, 297, 310, 312, 325, 336, 360, 370, 371, 381, 386, 390, 392, 399, 409, 411, 415, 430, 435, 436, 453, 465, 493, 495, 503, 504, 523, 528, 538, 548, 561, 563, 566, 567, 568, 569, 570, 572, 574, 575, 576, 590, 608, 621, 622, 623, 624, 625, 634, 636, 645, 647, 655, 666, 691, 702, 737, 743, 747, 750, 765, 766, 767, 786, 840, 841, 847, 850, 856, 858, 862, 873, 875, 951, 953, 961, 967, 971, 973, 1024, 1029, 1030, 1053, 1054, 1055, 1057, 1059, 1070, 1072, 1130, 1136, 1139, 1142, 1144, 1146, 1148, 1156, 1157, 1160, 1185, 1196, 1201, 1202, 1210, 1212, 1222, 1230, 1231];[0.011834319526627219, 0.0016906170752324597, 0.011834319526627219, 0.006762468300929839, 0.009298393913778529, 0.011834319526627219, 0.0033812341504649195, 0.0076077768385460695, 0.0033812341504649195, 0.0016906170752324597, 0.0016906170752324597, 0.0016906170752324597, 0.0033812341504649195, 0.011834319526627219, 0.0008453085376162299, 0.0016906170752324597, 0.0033812341504649195, 0.0016906170752324597, 0.01014370245139476, 0.01014370245139476, 0.0016906170752324597, 0.01014370245139476, 0.0016906170752324597, 0.011834319526627219, 0.006762468300929839, 0.0084530853761623, 0.006762468300929839, 0.006762468300929839, 0.0084530853761623, 0.0033812341504649195, 0.005917159763313609, 0.01014370245139476, 0.0016906170752324597, 0.0016906170752324597, 0.0008453085376162299, 0.011834319526627219, 0.005917159763313609, 0.0076077768385460695, 0.0033812341504649195, 0.0016906170752324597, 0.0016906170752324597, 0.0016906170752324597, 0.01014370245139476, 0.01014370245139476, 0.0016906170752324597, 0.006762468300929839, 0.0016906170752324597, 0.011834319526627219, 0.0076077768385460695, 0.0033812341504649195, 0.0016906170752324597, 0.0084530853761623, 0.011834319526627219, 0.0016906170752324597, 0.00253592561284869, 0.011834319526627219, 0.0016906170752324597, 0.011834319526627219, 0.0033812341504649195, 0.01014370245139476, 0.0016906170752324597, 0.011834319526627219, 0.01014370245139476, 0.0016906170752324597, 0.011834319526627219, 0.011834319526627219, 0.011834319526627219, 0.0084530853761623, 0.005917159763313609, 0.00507185122569738, 0.011834319526627219, 0.011834319526627219, 0.0016906170752324597, 0.0016906170752324597, 0.0016906170752324597, 0.011834319526627219, 0.011834319526627219, 0.011834319526627219, 0.01014370245139476, 0.011834319526627219, 0.011834319526627219, 0.011834319526627219, 0.00253592561284869, 0.0084530853761623, 0.011834319526627219, 0.006762468300929839, 0.011834319526627219, 0.011834319526627219, 0.011834319526627219, 0.011834319526627219, 0.0016906170752324597, 0.011834319526627219, 0.011834319526627219, 0.011834319526627219, 0.0016906170752324597, 0.011834319526627219, 0.011834319526627219, 0.00422654268808115, 0.011834319526627219, 0.011834319526627219, 0.0016906170752324597, 0.009298393913778529, 0.0016906170752324597, 0.011834319526627219, 0.0016906170752324597, 0.011834319526627219, 0.011834319526627219, 0.0016906170752324597, 0.011834319526627219, 0.0084530853761623, 0.011834319526627219, 0.011834319526627219, 0.011834319526627219, 0.011834319526627219, 0.011834319526627219, 0.0016906170752324597, 0.011834319526627219, 0.006762468300929839, 0.011834319526627219, 0.0016906170752324597, 0.0084530853761623, 0.0033812341504649195, 0.0016906170752324597, 0.0016906170752324597, 0.00507185122569738, 0.0016906170752324597, 0.006762468300929839, 0.01014370245139476, 0.0084530853761623, 0.0016906170752324597, 0.01098901098901099, 0.01014370245139476, 0.0016906170752324597, 0.011834319526627219, 0.011834319526627219, 0.0016906170752324597, 0.0016906170752324597, 0.011834319526627219, 0.0084530853761623, 0.00422654268808115]
45;[278, 283, 286, 287, 288, 289, 290, 292, 293, 338, 538, 540, 715, 758, 803, 919, 924, 1050, 1159, 1168];[0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.02608695652173913, 0.008695652173913044, 0.06956521739130435, 0.043478260869565216, 0.06956521739130435, 0.06956521739130435, 0.08695652173913043, 0.06956521739130435, 0.017391304347826087, 0.008695652173913044, 0.034782608695652174, 0.10434782608695652, 0.10434782608695652, 0.10434782608695652, 0.017391304347826087, 0.12173913043478261, 0.017391304347826087]
46;[51, 53, 370, 410, 430, 500, 503, 516, 553, 568, 623, 702, 737, 854, 856, 857, 1196, 1212];[0.1111111111111111, 0.1111111111111111, 0.015873015873015872, 0.031746031746031744, 0.015873015873015872, 0.007936507936507936, 0.09523809523809523, 0.07142857142857142, 0.047619047619047616, 0.015873015873015872, 0.015873015873015872, 0.10317460317460317, 0.1111111111111111, 0.05555555555555555, 0.07142857142857142, 0.031746031746031744, 0.015873015873015872, 0.07142857142857142]
47;[15, 57, 92, 118, 121, 125, 163, 165, 172, 183, 208, 209, 245, 259, 278, 279, 283, 286, 287, 295, 296, 301, 302, 317, 337, 361, 370, 406, 416, 436, 505, 508, 525, 585, 613, 684, 694, 695, 707, 781, 862, 868, 906, 928, 931, 971, 998, 1000, 1013, 1058, 1075, 1106, 1107, 1108, 1129, 1132, 1165, 1192, 1194, 1206];[0.014492753623188406, 0.007246376811594203, 0.036231884057971016, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.050724637681159424, 0.014492753623188406, 0.021739130434782608, 0.007246376811594203, 0.007246376811594203, 0.036231884057971016, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.036231884057971016, 0.0036231884057971015, 0.021739130434782608, 0.0036231884057971015, 0.036231884057971016, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.043478260869565216, 0.007246376811594203, 0.007246376811594203, 0.043478260869565216, 0.028985507246376812, 0.007246376811594203, 0.036231884057971016, 0.028985507246376812, 0.050724637681159424, 0.043478260869565216, 0.028985507246376812, 0.010869565217391304, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.043478260869565216, 0.007246376811594203, 0.007246376811594203, 0.0036231884057971015, 0.014492753623188406, 0.014492753623188406, 0.007246376811594203, 0.036231884057971016, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203, 0.050724637681159424, 0.007246376811594203, 0.007246376811594203, 0.007246376811594203]
48;[44, 72, 74, 124, 143, 154, 190, 257, 312, 336, 386, 422, 436, 453, 493, 495, 523, 548, 566, 568, 576, 691, 765, 766, 786, 850, 967, 1142, 1201, 1231];[0.01507537688442211, 0.005025125628140704, 0.005025125628140704, 0.05025125628140704, 0.020100502512562814, 0.07035175879396985, 0.010050251256281407, 0.020100502512562814, 0.005025125628140704, 0.07035175879396985, 0.005025125628140704, 0.010050251256281407, 0.07035175879396985, 0.07035175879396985, 0.01507537688442211, 0.05025125628140704, 0.05025125628140704, 0.05025125628140704, 0.010050251256281407, 0.07035175879396985, 0.07035175879396985, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.010050251256281407, 0.07035175879396985, 0.020100502512562814, 0.05025125628140704, 0.010050251256281407, 0.06532663316582915]
49;[72, 84, 138, 143, 230, 313, 370, 392, 393, 430, 436, 440, 465, 493, 503, 504, 505, 523, 530, 553, 562, 563, 566, 568, 570, 586, 608, 624, 625, 691, 726, 743, 749, 953, 972, 1198];[0.003787878787878788, 0.007575757575757576, 0.05303030303030303, 0.05303030303030303, 0.03787878787878788, 0.05303030303030303, 0.007575757575757576, 0.015151515151515152, 0.03787878787878788, 0.007575757575757576, 0.05303030303030303, 0.007575757575757576, 0.007575757575757576, 0.05303030303030303, 0.007575757575757576, 0.045454545454545456, 0.007575757575757576, 0.03787878787878788, 0.007575757575757576, 0.007575757575757576, 0.03787878787878788, 0.03787878787878788, 0.007575757575757576, 0.03787878787878788, 0.015151515151515152, 0.007575757575757576, 0.007575757575757576, 0.05303030303030303, 0.03787878787878788, 0.03787878787878788, 0.003787878787878788, 0.03787878787878788, 0.015151515151515152, 0.045454545454545456, 0.05303030303030303, 0.05303030303030303]
50;[44, 259, 309, 347, 435, 440, 495, 505, 543, 548, 568, 570, 575, 601, 634, 829, 848, 953, 961, 973, 1058, 1156, 1157, 1159, 1160];[0.006097560975609756, 0.08536585365853659, 0.006097560975609756, 0.012195121951219513, 0.08536585365853659, 0.024390243902439025, 0.08536585365853659, 0.012195121951219513, 0.006097560975609756, 0.08536585365853659, 0.024390243902439025, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.08536585365853659, 0.07317073170731707, 0.08536585365853659, 0.04878048780487805, 0.006097560975609756, 0.054878048780487805, 0.08536585365853659, 0.054878048780487805, 0.012195121951219513]
51;[1, 11, 14, 18, 19, 26, 44, 51, 55, 62, 63, 66, 67, 72, 83, 84, 85, 102, 107, 108, 112, 114, 122, 124, 135, 137, 141, 142, 177, 190, 191, 196, 200, 201, 214, 216, 217, 218, 219, 221, 222, 225, 230, 235, 236, 245, 249, 252, 254, 263, 264, 270, 276, 277, 279, 281, 289, 297, 302, 303, 304, 305, 306, 307, 308, 311, 322, 325, 333, 337, 343, 345, 355, 360, 365, 366, 370, 382, 383, 386, 391, 392, 400, 402, 407, 415, 417, 418, 419, 430, 435, 437, 440, 442, 444, 445, 465, 481, 484, 488, 490, 493, 494, 495, 498, 501, 502, 503, 504, 505, 510, 511, 517, 521, 526, 528, 529, 530, 531, 532, 534, 535, 548, 553, 560, 562, 563, 564, 565, 566, 568, 569, 570, 571, 572, 573, 574, 575, 576, 589, 590, 605, 608, 625, 627, 636, 639, 643, 646, 675, 681, 685, 707, 726, 733, 737, 738, 739, 740, 741, 744, 745, 746, 747, 748, 749, 779, 789, 790, 793, 827, 828, 829, 847, 852, 856, 857, 858, 861, 864, 865, 866, 868, 869, 875, 881, 889, 891, 892, 905, 918, 921, 925, 926, 933, 936, 949, 950, 954, 956, 957, 958, 966, 990, 991, 1001, 1024, 1026, 1027, 1044, 1057, 1065, 1070, 1074, 1076, 1079, 1091, 1120, 1127, 1135, 1137, 1139, 1141, 1156, 1167, 1196, 1198, 1199, 1200, 1202, 1203, 1204, 1207, 1208, 1209, 1210, 1211, 1212, 1234, 1236, 1238];[0.000591715976331361, 0.000591715976331361, 0.000591715976331361, 0.004142011834319527, 0.0035502958579881655, 0.007100591715976331, 0.004142011834319527, 0.000591715976331361, 0.000591715976331361, 0.000591715976331361, 0.000591715976331361, 0.001183431952662722, 0.0053254437869822485, 0.0053254437869822485, 0.001183431952662722, 0.0053254437869822485, 0.008284023668639054, 0.0017751479289940828, 0.004142011834319527, 0.001183431952662722, 0.007100591715976331, 0.005917159763313609, 0.008284023668639054, 0.002366863905325444, 0.001183431952662722, 0.007100591715976331, 0.008284023668639054, 0.007100591715976331, 0.001183431952662722, 0.001183431952662722, 0.00650887573964497, 0.002366863905325444, 0.001183431952662722, 0.008284023668639054, 0.008284023668639054, 0.000591715976331361, 0.000591715976331361, 0.000591715976331361, 0.000591715976331361, 0.000591715976331361, 0.000591715976331361, 0.008284023668639054, 0.001183431952662722, 0.007100591715976331, 0.005917159763313609, 0.000591715976331361, 0.008284023668639054, 0.000591715976331361, 0.0053254437869822485, 0.000591715976331361, 0.0017751479289940828, 0.007100591715976331, 0.001183431952662722, 0.004733727810650888, 0.0035502958579881655, 0.002366863905325444, 0.000591715976331361, 0.002366863905325444, 0.007100591715976331, 0.007100591715976331, 0.007100591715976331, 0.007100591715976331, 0.008284023668639054, 0.0029585798816568047, 0.0053254437869822485, 0.001183431952662722, 0.001183431952662722, 0.004733727810650888, 0.0029585798816568047, 0.002366863905325444, 0.001183431952662722, 0.000591715976331361, 0.000591715976331361, 0.0035502958579881655, 0.005917159763313609, 0.004733727810650888, 0.0053254437869822485, 0.001183431952662722, 0.004733727810650888, 0.007100591715976331, 0.002366863905325444, 0.00650887573964497, 0.00650887573964497, 0.001183431952662722, 0.007100591715976331, 0.0029585798816568047, 0.002366863905325444, 0.004733727810650888, 0.0053254437869822485, 0.0035502958579881655, 0.001183431952662722, 0.001183431952662722, 0.001183431952662722, 0.007692307692307693, 0.008284023668639054, 0.008284023668639054, 0.007100591715976331, 0.008284023668639054, 0.005917159763313609, 0.001183431952662722, 0.008284023668639054, 0.0017751479289940828, 0.007692307692307693, 0.001183431952662722, 0.00650887573964497, 0.007100591715976331, 0.001183431952662722, 0.002366863905325444, 0.008284023668639054, 0.001183431952662722, 0.001183431952662722, 0.0035502958579881655, 0.002366863905325444, 0.0035502958579881655, 0.001183431952662722, 0.005917159763313609, 0.005917159763313609, 0.005917159763313609, 0.005917159763313609, 0.007100591715976331, 0.005917159763313609, 0.008284023668639054, 0.001183431952662722, 0.005917159763313609, 0.008284023668639054, 0.0029585798816568047, 0.005917159763313609, 0.008284023668639054, 0.008284023668639054, 0.007100591715976331, 0.007100591715976331, 0.008284023668639054, 0.007100591715976331, 0.001183431952662722, 0.008284023668639054, 0.008284023668639054, 0.008284023668639054, 0.008284023668639054, 0.001183431952662722, 0.001183431952662722, 0.0017751479289940828, 0.00650887573964497, 0.007100591715976331, 0.001183431952662722, 0.001183431952662722, 0.0035502958579881655, 0.0017751479289940828, 0.001183431952662722, 0.008284023668639054, 0.0017751479289940828, 0.00650887573964497, 0.008284023668639054, 0.001183431952662722, 0.008284023668639054, 0.001183431952662722, 0.001183431952662722, 0.008284023668639054, 0.008284023668639054, 0.008284023668639054, 0.008284023668639054, 0.008284023668639054, 0.001183431952662722, 0.008284023668639054, 0.001183431952662722, 0.008284023668639054, 0.008284023668639054, 0.002366863905325444, 0.004733727810650888, 0.000591715976331361, 0.001183431952662722, 0.008284023668639054, 0.000591715976331361, 0.005917159763313609, 0.001183431952662722, 0.000591715976331361, 0.0017751479289940828, 0.000591715976331361, 0.001183431952662722, 0.001183431952662722, 0.004733727810650888, 0.002366863905325444, 0.001183431952662722, 0.001183431952662722, 0.00650887573964497, 0.001183431952662722, 0.001183431952662722, 0.001183431952662722, 0.002366863905325444, 0.007100591715976331, 0.001183431952662722, 0.008284023668639054, 0.008284023668639054, 0.002366863905325444, 0.001183431952662722, 0.001183431952662722, 0.000591715976331361, 0.008284023668639054, 0.008284023668639054, 0.004733727810650888, 0.002366863905325444, 0.008284023668639054, 0.005917159763313609, 0.007100591715976331, 0.001183431952662722, 0.001183431952662722, 0.001183431952662722, 0.0035502958579881655, 0.008284023668639054, 0.000591715976331361, 0.005917159763313609, 0.000591715976331361, 0.001183431952662722, 0.0017751479289940828, 0.0029585798816568047, 0.008284023668639054, 0.001183431952662722, 0.002366863905325444, 0.0053254437869822485, 0.000591715976331361, 0.000591715976331361, 0.000591715976331361, 0.000591715976331361, 0.000591715976331361, 0.005917159763313609, 0.007100591715976331, 0.004733727810650888, 0.001183431952662722, 0.001183431952662722, 0.007100591715976331, 0.001183431952662722, 0.007692307692307693, 0.007100591715976331, 0.007692307692307693, 0.008284023668639054, 0.008284023668639054, 0.0053254437869822485, 0.007100591715976331, 0.007692307692307693, 0.002366863905325444, 0.007100591715976331, 0.004733727810650888]
52;[406, 505];[0.875, 0.125]
53;[1, 11, 55, 81, 160, 188, 223, 228, 347, 370, 401, 432, 447, 505, 509, 577, 590, 767, 917, 987, 1170, 1228, 1229];[0.020618556701030927, 0.041237113402061855, 0.020618556701030927, 0.020618556701030927, 0.020618556701030927, 0.020618556701030927, 0.020618556701030927, 0.020618556701030927, 0.030927835051546393, 0.020618556701030927, 0.08247422680412371, 0.10309278350515463, 0.10309278350515463, 0.020618556701030927, 0.020618556701030927, 0.05154639175257732, 0.041237113402061855, 0.041237113402061855, 0.010309278350515464, 0.12371134020618557, 0.061855670103092786, 0.05154639175257732, 0.05154639175257732]
54;[11, 23, 55, 187, 206, 211, 223, 228, 229, 333, 341, 347, 358, 369, 382, 394, 401, 402, 432, 485, 488, 505, 513, 547, 550, 552, 577, 590, 607, 613, 626, 631, 632, 716, 767, 771, 790, 793, 806, 812, 819, 860, 904, 905, 917, 941, 964, 990, 1003, 1005, 1007, 1013, 1048, 1060, 1099, 1134, 1163, 1164, 1169, 1171, 1192, 1237];[0.03090507726269316, 0.002207505518763797, 0.008830022075055188, 0.013245033112582781, 0.002207505518763797, 0.03090507726269316, 0.024282560706401765, 0.03090507726269316, 0.03090507726269316, 0.008830022075055188, 0.013245033112582781, 0.013245033112582781, 0.03090507726269316, 0.024282560706401765, 0.03090507726269316, 0.019867549668874173, 0.019867549668874173, 0.02869757174392936, 0.03090507726269316, 0.024282560706401765, 0.019867549668874173, 0.008830022075055188, 0.013245033112582781, 0.004415011037527594, 0.004415011037527594, 0.006622516556291391, 0.01545253863134658, 0.008830022075055188, 0.002207505518763797, 0.004415011037527594, 0.006622516556291391, 0.026490066225165563, 0.024282560706401765, 0.011037527593818985, 0.008830022075055188, 0.002207505518763797, 0.004415011037527594, 0.004415011037527594, 0.004415011037527594, 0.02869757174392936, 0.03090507726269316, 0.008830022075055188, 0.026490066225165563, 0.002207505518763797, 0.017660044150110375, 0.008830022075055188, 0.03090507726269316, 0.008830022075055188, 0.008830022075055188, 0.026490066225165563, 0.02869757174392936, 0.008830022075055188, 0.02869757174392936, 0.03090507726269316, 0.002207505518763797, 0.024282560706401765, 0.026490066225165563, 0.01545253863134658, 0.026490066225165563, 0.002207505518763797, 0.004415011037527594, 0.002207505518763797]
55;[70, 232, 305, 347, 358, 391, 430, 432, 463, 505, 521, 530, 640, 675, 749, 779, 820, 828, 847, 890, 1056, 1070, 1156, 1205];[0.008620689655172414, 0.02586206896551724, 0.008620689655172414, 0.017241379310344827, 0.034482758620689655, 0.0603448275862069, 0.017241379310344827, 0.11206896551724138, 0.02586206896551724, 0.034482758620689655, 0.1206896551724138, 0.11206896551724138, 0.034482758620689655, 0.017241379310344827, 0.017241379310344827, 0.034482758620689655, 0.09482758620689655, 0.05172413793103448, 0.017241379310344827, 0.034482758620689655, 0.017241379310344827, 0.02586206896551724, 0.017241379310344827, 0.0603448275862069]
56;[55, 89, 123, 135, 181, 185, 212, 288, 290, 292, 414, 424, 432, 443, 450, 758, 767, 783, 794, 919, 924, 925, 928, 970, 972, 1066, 1091, 1093, 1102, 1115, 1234, 1239];[0.023809523809523808, 0.03571428571428571, 0.023809523809523808, 0.023809523809523808, 0.09523809523809523, 0.047619047619047616, 0.09523809523809523, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.011904761904761904, 0.011904761904761904, 0.011904761904761904, 0.011904761904761904, 0.047619047619047616, 0.011904761904761904, 0.16666666666666666, 0.023809523809523808, 0.011904761904761904, 0.011904761904761904, 0.011904761904761904, 0.011904761904761904, 0.011904761904761904, 0.011904761904761904, 0.011904761904761904, 0.011904761904761904, 0.07142857142857142, 0.023809523809523808, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.011904761904761904]
57;[1, 6, 8, 11, 62, 79, 80, 81, 160, 177, 178, 188, 200, 223, 228, 282, 346, 369, 370, 394, 397, 415, 432, 447, 513, 577, 588, 590, 668, 778, 784, 790, 812, 833, 860, 865, 890, 905, 983, 986, 987, 988, 989, 1086, 1090, 1091, 1095, 1170, 1171, 1173, 1203];[0.0502092050209205, 0.008368200836820083, 0.0041841004184100415, 0.008368200836820083, 0.008368200836820083, 0.0041841004184100415, 0.008368200836820083, 0.008368200836820083, 0.016736401673640166, 0.0041841004184100415, 0.02092050209205021, 0.016736401673640166, 0.0041841004184100415, 0.04184100418410042, 0.008368200836820083, 0.02510460251046025, 0.03765690376569038, 0.008368200836820083, 0.02092050209205021, 0.03347280334728033, 0.0041841004184100415, 0.008368200836820083, 0.03765690376569038, 0.0041841004184100415, 0.008368200836820083, 0.008368200836820083, 0.04184100418410042, 0.058577405857740586, 0.008368200836820083, 0.02510460251046025, 0.008368200836820083, 0.04184100418410042, 0.012552301255230125, 0.008368200836820083, 0.029288702928870293, 0.029288702928870293, 0.012552301255230125, 0.02510460251046025, 0.03347280334728033, 0.029288702928870293, 0.03765690376569038, 0.04184100418410042, 0.016736401673640166, 0.0041841004184100415, 0.0041841004184100415, 0.016736401673640166, 0.029288702928870293, 0.016736401673640166, 0.016736401673640166, 0.029288702928870293, 0.012552301255230125]
58;[1, 6, 7, 43, 48, 55, 60, 62, 63, 80, 81, 82, 102, 111, 160, 164, 178, 179, 187, 188, 200, 223, 228, 229, 271, 282, 335, 346, 347, 366, 369, 370, 384, 392, 394, 397, 402, 415, 427, 429, 432, 447, 457, 463, 485, 505, 511, 513, 517, 550, 577, 588, 589, 590, 591, 609, 614, 631, 668, 748, 749, 769, 778, 784, 790, 805, 812, 820, 860, 865, 874, 890, 903, 905, 912, 917, 964, 983, 986, 987, 988, 989, 990, 1005, 1025, 1077, 1086, 1090, 1091, 1134, 1170, 1171, 1173, 1228, 1234];[0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.0014577259475218659, 0.0058309037900874635, 0.011661807580174927, 0.0014577259475218659, 0.016034985422740525, 0.01020408163265306, 0.01749271137026239, 0.0058309037900874635, 0.011661807580174927, 0.0029154518950437317, 0.0029154518950437317, 0.02040816326530612, 0.0029154518950437317, 0.018950437317784258, 0.01020408163265306, 0.013119533527696793, 0.016034985422740525, 0.008746355685131196, 0.01749271137026239, 0.013119533527696793, 0.011661807580174927, 0.011661807580174927, 0.0058309037900874635, 0.0058309037900874635, 0.018950437317784258, 0.016034985422740525, 0.0029154518950437317, 0.014577259475218658, 0.004373177842565598, 0.0029154518950437317, 0.0029154518950437317, 0.014577259475218658, 0.0014577259475218659, 0.0029154518950437317, 0.0058309037900874635, 0.0029154518950437317, 0.0014577259475218659, 0.018950437317784258, 0.018950437317784258, 0.0029154518950437317, 0.0029154518950437317, 0.0029154518950437317, 0.01020408163265306, 0.0014577259475218659, 0.007288629737609329, 0.0029154518950437317, 0.0029154518950437317, 0.018950437317784258, 0.018950437317784258, 0.01020408163265306, 0.02040816326530612, 0.02040816326530612, 0.0029154518950437317, 0.016034985422740525, 0.013119533527696793, 0.011661807580174927, 0.0029154518950437317, 0.0029154518950437317, 0.013119533527696793, 0.01749271137026239, 0.008746355685131196, 0.02040816326530612, 0.0029154518950437317, 0.01749271137026239, 0.0029154518950437317, 0.02040816326530612, 0.018950437317784258, 0.013119533527696793, 0.018950437317784258, 0.004373177842565598, 0.014577259475218658, 0.0029154518950437317, 0.014577259475218658, 0.0014577259475218659, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.0029154518950437317, 0.0029154518950437317, 0.004373177842565598, 0.014577259475218658, 0.0014577259475218659, 0.0014577259475218659, 0.0058309037900874635, 0.0058309037900874635, 0.01749271137026239, 0.016034985422740525, 0.02040816326530612, 0.0029154518950437317, 0.0029154518950437317]
59;[1, 6, 11, 18, 45, 48, 55, 62, 63, 67, 79, 80, 81, 84, 102, 107, 110, 111, 122, 160, 164, 166, 177, 179, 187, 188, 191, 200, 214, 223, 228, 229, 245, 275, 279, 281, 284, 306, 333, 335, 346, 347, 365, 366, 369, 370, 382, 386, 392, 394, 397, 401, 402, 415, 425, 427, 430, 432, 442, 444, 447, 452, 465, 485, 504, 505, 509, 513, 521, 524, 530, 565, 572, 574, 577, 588, 590, 591, 607, 608, 609, 614, 631, 668, 670, 678, 679, 685, 689, 738, 748, 767, 769, 778, 784, 790, 812, 820, 827, 828, 833, 860, 865, 869, 874, 882, 903, 905, 912, 917, 936, 937, 964, 977, 983, 986, 987, 988, 989, 990, 1005, 1007, 1025, 1044, 1056, 1060, 1071, 1074, 1075, 1077, 1091, 1095, 1097, 1102, 1134, 1143, 1163, 1170, 1171, 1172, 1173, 1203, 1205, 1228, 1232];[0.004993757802746567, 0.0024968789013732834, 0.0024968789013732834, 0.003745318352059925, 0.0024968789013732834, 0.008739076154806492, 0.017478152309612985, 0.004993757802746567, 0.004993757802746567, 0.0024968789013732834, 0.0024968789013732834, 0.004993757802746567, 0.00749063670411985, 0.009987515605493134, 0.011235955056179775, 0.009987515605493134, 0.0024968789013732834, 0.0012484394506866417, 0.003745318352059925, 0.003745318352059925, 0.0024968789013732834, 0.003745318352059925, 0.0024968789013732834, 0.0024968789013732834, 0.004993757802746567, 0.0024968789013732834, 0.008739076154806492, 0.0024968789013732834, 0.011235955056179775, 0.017478152309612985, 0.011235955056179775, 0.0149812734082397, 0.0024968789013732834, 0.00749063670411985, 0.011235955056179775, 0.0024968789013732834, 0.01373283395755306, 0.0024968789013732834, 0.0024968789013732834, 0.006242197253433208, 0.003745318352059925, 0.00749063670411985, 0.011235955056179775, 0.011235955056179775, 0.0024968789013732834, 0.00749063670411985, 0.0024968789013732834, 0.004993757802746567, 0.004993757802746567, 0.0149812734082397, 0.01373283395755306, 0.016229712858926344, 0.017478152309612985, 0.004993757802746567, 0.0024968789013732834, 0.0024968789013732834, 0.0024968789013732834, 0.016229712858926344, 0.0024968789013732834, 0.0024968789013732834, 0.004993757802746567, 0.0024968789013732834, 0.0024968789013732834, 0.004993757802746567, 0.0024968789013732834, 0.01373283395755306, 0.01373283395755306, 0.011235955056179775, 0.004993757802746567, 0.0024968789013732834, 0.004993757802746567, 0.011235955056179775, 0.00749063670411985, 0.00749063670411985, 0.017478152309612985, 0.008739076154806492, 0.009987515605493134, 0.004993757802746567, 0.0024968789013732834, 0.009987515605493134, 0.0012484394506866417, 0.004993757802746567, 0.003745318352059925, 0.017478152309612985, 0.01373283395755306, 0.0024968789013732834, 0.0024968789013732834, 0.0024968789013732834, 0.011235955056179775, 0.0024968789013732834, 0.0024968789013732834, 0.0149812734082397, 0.0024968789013732834, 0.003745318352059925, 0.016229712858926344, 0.011235955056179775, 0.017478152309612985, 0.0024968789013732834, 0.004993757802746567, 0.0024968789013732834, 0.01373283395755306, 0.006242197253433208, 0.016229712858926344, 0.0012484394506866417, 0.006242197253433208, 0.0024968789013732834, 0.008739076154806492, 0.0149812734082397, 0.0024968789013732834, 0.003745318352059925, 0.01373283395755306, 0.0024968789013732834, 0.0012484394506866417, 0.0024968789013732834, 0.006242197253433208, 0.006242197253433208, 0.004993757802746567, 0.006242197253433208, 0.017478152309612985, 0.0024968789013732834, 0.0024968789013732834, 0.0024968789013732834, 0.01373283395755306, 0.003745318352059925, 0.0024968789013732834, 0.00749063670411985, 0.0024968789013732834, 0.016229712858926344, 0.0024968789013732834, 0.017478152309612985, 0.004993757802746567, 0.01373283395755306, 0.0024968789013732834, 0.01373283395755306, 0.004993757802746567, 0.0024968789013732834, 0.011235955056179775, 0.0024968789013732834, 0.011235955056179775, 0.00749063670411985, 0.00749063670411985, 0.0024968789013732834, 0.008739076154806492, 0.004993757802746567, 0.0024968789013732834]
60;[17, 87, 100, 155, 241, 267, 322, 340, 348, 354, 370, 446, 519, 550, 587, 597, 653, 698, 722, 724, 751, 764, 990, 1000, 1004, 1040, 1041, 1043, 1046, 1047, 1104, 1110, 1192, 1194];[0.016216216216216217, 0.005405405405405406, 0.07567567567567568, 0.043243243243243246, 0.05945945945945946, 0.02702702702702703, 0.032432432432432434, 0.021621621621621623, 0.07567567567567568, 0.010810810810810811, 0.010810810810810811, 0.05405405405405406, 0.021621621621621623, 0.010810810810810811, 0.04864864864864865, 0.04864864864864865, 0.021621621621621623, 0.07027027027027027, 0.010810810810810811, 0.010810810810810811, 0.010810810810810811, 0.010810810810810811, 0.032432432432432434, 0.010810810810810811, 0.07567567567567568, 0.010810810810810811, 0.02702702702702703, 0.02702702702702703, 0.021621621621621623, 0.02702702702702703, 0.010810810810810811, 0.032432432432432434, 0.016216216216216217, 0.010810810810810811]
